"","q","user_id","party","response_1","response_2","response_3","truth","set","network","pair_id","experiment","remove_extreme"
"90","Taxes",211,"Dem",23,22,19,14.6,"D","Social",1,1,NA
"91","Unemployment",212,"Dem",4.9,5,4.7,4.9,"D","Social",1,1,NA
"92","California",201,"Dem",15,25,30,60.2,"D","Social",1,1,NA
"93","Taxes",201,"Dem",30,25,24,14.6,"D","Social",1,1,NA
"94","Taxes",264,"Dem",8,25,23,14.6,"D","Social",1,1,NA
"95","California",264,"Dem",45,33,38,60.2,"D","Social",1,1,NA
"96","Unemployment",276,"Dem",12,5,5,4.9,"D","Social",1,1,NA
"97","Taxes",275,"Dem",29,27,32,14.6,"D","Social",1,1,NA
"98","Taxes",276,"Dem",15,11,12,14.6,"D","Social",1,1,NA
"99","Unemployment",269,"Dem",4.7,5,5,4.9,"D","Social",1,1,NA
"100","California",269,"Dem",51,45,47,60.2,"D","Social",1,1,NA
"101","California",225,"Dem",35,30,30,60.2,"D","Social",1,1,NA
"102","Election",234,"Dem",134,234,248,224.6,"D","Social",1,1,NA
"103","Unemployment",234,"Dem",14,4.6,4.7,4.9,"D","Social",1,1,NA
"104","California",254,"Dem",60,45,45,60.2,"D","Social",1,1,NA
"105","California",247,"Dem",6,52,52,60.2,"D","Social",1,1,NA
"106","Election",204,"Dem",340,320,320,224.6,"D","Social",1,1,NA
"107","California",253,"Dem",7,26,29,60.2,"D","Social",1,1,NA
"108","California",219,"Dem",35,36,33,60.2,"D","Social",1,1,NA
"109","Unemployment",275,"Dem",6,5,4.5,4.9,"D","Social",1,1,NA
"110","Taxes",247,"Dem",39,29,30,14.6,"D","Social",1,1,NA
"111","Unemployment",280,"Dem",13,7,7,4.9,"D","Social",1,1,NA
"112","Taxes",254,"Dem",15,15,15,14.6,"D","Social",1,1,NA
"113","Taxes",256,"Dem",20,15,26,14.6,"D","Social",1,1,NA
"114","Election",220,"Dem",350,240,235,224.6,"D","Social",1,1,NA
"115","Unemployment",256,"Dem",15,14,4,4.9,"D","Social",1,1,NA
"116","Taxes",269,"Dem",22,8.6,10,14.6,"D","Social",1,1,NA
"117","California",204,"Dem",40,40,40,60.2,"D","Social",1,1,NA
"118","California",222,"Dem",50,48,52,60.2,"D","Social",1,1,NA
"119","Taxes",258,"Dem",21,22,25,14.6,"D","Social",1,1,NA
"120","California",212,"Dem",45,44,46,60.2,"D","Social",1,1,NA
"121","Taxes",204,"Dem",40,40,40,14.6,"D","Social",1,1,NA
"122","Taxes",280,"Dem",37,23,32,14.6,"D","Social",1,1,NA
"123","Unemployment",204,"Dem",5,5,5,4.9,"D","Social",1,1,NA
"124","California",275,"Dem",65,60,55,60.2,"D","Social",1,1,NA
"125","Election",269,"Dem",272,260,245,224.6,"D","Social",1,1,NA
"126","California",258,"Dem",51,49,45,60.2,"D","Social",1,1,NA
"127","Election",256,"Dem",300,400,450,224.6,"D","Social",1,1,NA
"128","California",256,"Dem",40,45,1,60.2,"D","Social",1,1,NA
"129","Unemployment",258,"Dem",4.5,4,5,4.9,"D","Social",1,1,NA
"130","Election",201,"Dem",300,299,299,224.6,"D","Social",1,1,NA
"131","California",226,"Dem",44,44,44,60.2,"D","Social",1,1,NA
"132","Election",221,"Dem",200,212,206,224.6,"D","Social",1,1,NA
"133","Election",280,"Dem",150,220,180,224.6,"D","Social",1,1,NA
"134","Unemployment",254,"Dem",5,7,7,4.9,"D","Social",1,1,NA
"135","California",234,"Dem",65,46,44,60.2,"D","Social",1,1,NA
"136","Election",279,"Dem",240.4,223.6,223.2,224.6,"D","Social",1,1,NA
"137","Election",422,"Dem",239,221,218,224.6,"D","Social",2,1,NA
"138","California",386,"Dem",27,27,29,60.2,"D","Social",2,1,NA
"139","California",380,"Dem",35,40,40,60.2,"D","Social",2,1,NA
"140","California",406,"Dem",54,58,59,60.2,"D","Social",2,1,NA
"141","Election",386,"Dem",NA,76,205,224.6,"D","Social",2,1,NA
"142","Taxes",402,"Dem",22,20,15,14.6,"D","Social",2,1,NA
"143","California",440,"Dem",65,60,60,60.2,"D","Social",2,1,NA
"144","Taxes",429,"Dem",15,20,18,14.6,"D","Social",2,1,NA
"145","Unemployment",426,"Dem",12,9,7,4.9,"D","Social",2,1,NA
"146","Taxes",447,"Dem",21,23,22,14.6,"D","Social",2,1,NA
"147","California",381,"Dem",23,36,32,60.2,"D","Social",2,1,NA
"148","Unemployment",352,"Dem",4.7,4,5,4.9,"D","Social",2,1,NA
"149","Unemployment",386,"Dem",4.6,4,4,4.9,"D","Social",2,1,NA
"150","Election",440,"Dem",230,230,230,224.6,"D","Social",2,1,NA
"151","California",421,"Dem",45,43,40,60.2,"D","Social",2,1,NA
"152","Unemployment",440,"Dem",5,5.5,5,4.9,"D","Social",2,1,NA
"153","Unemployment",406,"Dem",5.2,5,5,4.9,"D","Social",2,1,NA
"154","Unemployment",446,"Dem",5,4.5,4.5,4.9,"D","Social",2,1,NA
"155","California",426,"Dem",45,35,30,60.2,"D","Social",2,1,NA
"156","California",377,"Dem",45,40,40,60.2,"D","Social",2,1,NA
"157","Election",365,"Dem",220,240,225,224.6,"D","Social",2,1,NA
"158","Election",429,"Dem",225,225,230,224.6,"D","Social",2,1,NA
"159","Election",396,"Dem",190,215,220,224.6,"D","Social",2,1,NA
"160","Election",438,"Dem",250,200,200,224.6,"D","Social",2,1,NA
"161","Unemployment",380,"Dem",4.5,4.5,4,4.9,"D","Social",2,1,NA
"162","Taxes",421,"Dem",30,25,20,14.6,"D","Social",2,1,NA
"163","Election",380,"Dem",250,250,250,224.6,"D","Social",2,1,NA
"164","Unemployment",421,"Dem",50,10,5,4.9,"D","Social",2,1,NA
"165","Taxes",438,"Dem",22,22,20,14.6,"D","Social",2,1,NA
"166","California",435,"Dem",55,51,50,60.2,"D","Social",2,1,NA
"167","Election",352,"Dem",200,230,230,224.6,"D","Social",2,1,NA
"168","California",447,"Dem",19,21,30,60.2,"D","Social",2,1,NA
"169","Election",377,"Dem",225,225,225,224.6,"D","Social",2,1,NA
"170","Unemployment",429,"Dem",4,4,4,4.9,"D","Social",2,1,NA
"171","Election",434,"Dem",280,275,270,224.6,"D","Social",2,1,NA
"172","Unemployment",360,"Dem",13,10,10,4.9,"D","Social",2,1,NA
"173","Taxes",446,"Dem",43,22,11,14.6,"D","Social",2,1,NA
"174","California",372,"Dem",7,7,31,60.2,"D","Social",2,1,NA
"175","Taxes",351,"Dem",13,17,14,14.6,"D","Social",2,1,NA
"176","Unemployment",384,"Dem",8,4,5,4.9,"D","Social",2,1,NA
"177","California",384,"Dem",30,25,30,60.2,"D","Social",2,1,NA
"178","Taxes",426,"Dem",25,22,21,14.6,"D","Social",2,1,NA
"179","Election",435,"Dem",140,190,225,224.6,"D","Social",2,1,NA
"180","Taxes",384,"Dem",25,25,24,14.6,"D","Social",2,1,NA
"181","California",429,"Dem",23,57,52,60.2,"D","Social",2,1,NA
"182","Unemployment",395,"Dem",8,6,7,4.9,"D","Social",2,1,NA
"183","Election",415,"Dem",400,300,250,224.6,"D","Social",2,1,NA
"184","Taxes",377,"Dem",15,20,20,14.6,"D","Social",2,1,NA
"185","Unemployment",365,"Dem",8,7,6,4.9,"D","Social",2,1,NA
"186","Taxes",434,"Dem",14,14.4,14,14.6,"D","Social",2,1,NA
"187","Election",445,"Dem",200,200,210,224.6,"D","Social",2,1,NA
"188","California",361,"Dem",67,47,53,60.2,"D","Social",2,1,NA
"189","Taxes",360,"Dem",26,26,26,14.6,"D","Social",2,1,NA
"190","Election",351,"Dem",210,155,180,224.6,"D","Social",2,1,NA
"191","Election",402,"Dem",280,230,235,224.6,"D","Social",2,1,NA
"192","Unemployment",361,"Dem",10,7,4,4.9,"D","Social",2,1,NA
"193","Unemployment",402,"Dem",6,6,6,4.9,"D","Social",2,1,NA
"194","Taxes",445,"Dem",8,10,10,14.6,"D","Social",2,1,NA
"195","California",402,"Dem",25,30,10,60.2,"D","Social",2,1,NA
"196","Unemployment",415,"Dem",4.7,5,4,4.9,"D","Social",2,1,NA
"197","Unemployment",377,"Dem",6,6,6,4.9,"D","Social",2,1,NA
"198","Unemployment",447,"Dem",6,4,5,4.9,"D","Social",2,1,NA
"199","California",360,"Dem",20,35,35,60.2,"D","Social",2,1,NA
"200","Unemployment",413,"Dem",5,7,6,4.9,"D","Social",2,1,NA
"201","California",352,"Dem",50,70,70,60.2,"D","Social",2,1,NA
"202","Taxes",386,"Dem",22,20,20,14.6,"D","Social",2,1,NA
"203","Election",395,"Dem",101,170,189,224.6,"D","Social",2,1,NA
"204","Taxes",435,"Dem",17,NA,15,14.6,"D","Social",2,1,NA
"205","California",351,"Dem",40,35,45,60.2,"D","Social",2,1,NA
"206","California",445,"Dem",45,43,40,60.2,"D","Social",2,1,NA
"207","Election",426,"Dem",180,175,200,224.6,"D","Social",2,1,NA
"208","Taxes",422,"Dem",15,15,17,14.6,"D","Social",2,1,NA
"209","California",434,"Dem",15,20,22,60.2,"D","Social",2,1,NA
"210","Unemployment",434,"Dem",5,4.7,4.7,4.9,"D","Social",2,1,NA
"211","Unemployment",372,"Dem",5,5,5,4.9,"D","Social",2,1,NA
"212","California",413,"Dem",18,24,65,60.2,"D","Social",2,1,NA
"213","Taxes",372,"Dem",13,16,14,14.6,"D","Social",2,1,NA
"214","Election",360,"Dem",20,167,167,224.6,"D","Social",2,1,NA
"215","Unemployment",353,"Dem",4.7,5,4.7,4.9,"D","Social",2,1,NA
"216","Taxes",397,"Dem",12,14,14,14.6,"D","Social",2,1,NA
"217","Election",384,"Dem",35,300,300,224.6,"D","Social",2,1,NA
"218","California",395,"Dem",26,31,33,60.2,"D","Social",2,1,NA
"219","Taxes",353,"Dem",13.5,15,15,14.6,"D","Social",2,1,NA
"220","California",446,"Dem",65,62,68,60.2,"D","Social",2,1,NA
"221","Unemployment",396,"Dem",35,18,15,4.9,"D","Social",2,1,NA
"222","Unemployment",445,"Dem",4,5,5,4.9,"D","Social",2,1,NA
"223","Taxes",380,"Dem",15,15,15,14.6,"D","Social",2,1,NA
"224","California",353,"Dem",52,47,60,60.2,"D","Social",2,1,NA
"225","Unemployment",381,"Dem",6.7,5,5,4.9,"D","Social",2,1,NA
"226","Taxes",381,"Dem",20,12,13,14.6,"D","Social",2,1,NA
"227","Unemployment",435,"Dem",5,5,5,4.9,"D","Social",2,1,NA
"228","Election",397,"Dem",145,160,159,224.6,"D","Social",2,1,NA
"229","California",365,"Dem",26,33,31,60.2,"D","Social",2,1,NA
"230","Unemployment",351,"Dem",4,4.1,4.2,4.9,"D","Social",2,1,NA
"231","Unemployment",438,"Dem",4,5,5,4.9,"D","Social",2,1,NA
"232","Taxes",368,"Dem",15,16,14,14.6,"D","Social",2,1,NA
"233","Election",446,"Dem",175,171,218,224.6,"D","Social",2,1,NA
"234","Taxes",361,"Dem",28,7,7,14.6,"D","Social",2,1,NA
"235","Taxes",365,"Dem",24,22,21,14.6,"D","Social",2,1,NA
"236","Taxes",415,"Dem",15,16,15,14.6,"D","Social",2,1,NA
"237","Unemployment",422,"Dem",6,6,6,4.9,"D","Social",2,1,NA
"238","California",396,"Dem",45,48,43,60.2,"D","Social",2,1,NA
"239","Taxes",413,"Dem",25,25,25,14.6,"D","Social",2,1,NA
"240","Unemployment",397,"Dem",4,5,5,4.9,"D","Social",2,1,NA
"241","Unemployment",394,"Dem",5,5,5,4.9,"D","Social",2,1,NA
"242","California",394,"Dem",30,45,50,60.2,"D","Social",2,1,NA
"243","Election",394,"Dem",300,320,330,224.6,"D","Social",2,1,NA
"244","Taxes",352,"Dem",14,12,10,14.6,"D","Social",2,1,NA
"245","California",393,"Dem",45,38,39,60.2,"D","Social",2,1,NA
"246","Election",421,"Dem",1,200,210,224.6,"D","Social",2,1,NA
"247","Election",361,"Dem",156,227,227,224.6,"D","Social",2,1,NA
"248","Taxes",395,"Dem",24,21,22,14.6,"D","Social",2,1,NA
"249","California",415,"Dem",37,47,62,60.2,"D","Social",2,1,NA
"250","Taxes",371,"Dem",32,24,24,14.6,"D","Social",2,1,NA
"251","Election",406,"Dem",200,220,210,224.6,"D","Social",2,1,NA
"252","California",368,"Dem",6,30,30,60.2,"D","Social",2,1,NA
"253","California",397,"Dem",45,41,44,60.2,"D","Social",2,1,NA
"254","Unemployment",393,"Dem",4.7,4.7,4.7,4.9,"D","Social",2,1,NA
"255","Taxes",440,"Dem",24,24,24,14.6,"D","Social",2,1,NA
"256","Taxes",394,"Dem",15,15,15,14.6,"D","Social",2,1,NA
"257","California",407,"Dem",35,50,45,60.2,"D","Social",2,1,NA
"258","Election",353,"Dem",252,234,220,224.6,"D","Social",2,1,NA
"259","Election",407,"Dem",175,200,200,224.6,"D","Social",2,1,NA
"260","Election",381,"Dem",220,230,232,224.6,"D","Social",2,1,NA
"261","Election",413,"Dem",175,150,225,224.6,"D","Social",2,1,NA
"262","Election",447,"Dem",275,225,200,224.6,"D","Social",2,1,NA
"263","California",371,"Dem",46,41,42,60.2,"D","Social",2,1,NA
"264","Election",368,"Dem",220,240,240,224.6,"D","Social",2,1,NA
"265","Unemployment",371,"Dem",8,9,8,4.9,"D","Social",2,1,NA
"266","California",422,"Dem",30,25,27,60.2,"D","Social",2,1,NA
"267","California",438,"Dem",65,48,45,60.2,"D","Social",2,1,NA
"268","Election",372,"Dem",110,165,179,224.6,"D","Social",2,1,NA
"269","Election",371,"Dem",200,198,202,224.6,"D","Social",2,1,NA
"270","Election",393,"Dem",10,328,328500000,224.6,"D","Social",2,1,NA
"271","Taxes",393,"Dem",27,25,31,14.6,"D","Social",2,1,NA
"272","Taxes",406,"Dem",30,10,12,14.6,"D","Social",2,1,NA
"273","Taxes",396,"Dem",21,21,21,14.6,"D","Social",2,1,NA
"274","Unemployment",368,"Dem",2.5,3,3,4.9,"D","Social",2,1,NA
"275","Unemployment",407,"Dem",7,5,6,4.9,"D","Social",2,1,NA
"276","Taxes",407,"Dem",20,23,19,14.6,"D","Social",2,1,NA
"277","Unemployment",885,"Dem",3,4.6,4,4.9,"D","Social",3,1,NA
"278","Election",810,"Dem",25,156,180,224.6,"D","Social",3,1,NA
"279","Election",972,"Dem",300,240,240,224.6,"D","Social",3,1,NA
"280","Taxes",1074,"Dem",20,21,20,14.6,"D","Social",3,1,NA
"281","California",837,"Dem",75,43,43,60.2,"D","Social",3,1,NA
"282","Taxes",968,"Dem",30,20,16,14.6,"D","Social",3,1,NA
"283","California",885,"Dem",40,41,39,60.2,"D","Social",3,1,NA
"284","California",949,"Dem",NA,40,43,60.2,"D","Social",3,1,NA
"285","California",968,"Dem",50,45,45,60.2,"D","Social",3,1,NA
"286","Unemployment",888,"Dem",12,5,4,4.9,"D","Social",3,1,NA
"287","Election",815,"Dem",240,220,220,224.6,"D","Social",3,1,NA
"288","Unemployment",968,"Dem",5,6,5.5,4.9,"D","Social",3,1,NA
"289","Election",895,"Dem",175,210,0,224.6,"D","Social",3,1,NA
"290","California",931,"Dem",40,50,55,60.2,"D","Social",3,1,NA
"291","Taxes",870,"Dem",25,24,22,14.6,"D","Social",3,1,NA
"292","California",810,"Dem",35,39,46,60.2,"D","Social",3,1,NA
"293","California",972,"Dem",37,48,49,60.2,"D","Social",3,1,NA
"294","Unemployment",1002,"Dem",5.1,5.1,5,4.9,"D","Social",3,1,NA
"295","Unemployment",1074,"Dem",4,4,4,4.9,"D","Social",3,1,NA
"296","Taxes",927,"Dem",16.3,16,17,14.6,"D","Social",3,1,NA
"297","Election",923,"Dem",275,250,245,224.6,"D","Social",3,1,NA
"298","Unemployment",939,"Dem",5,6,5,4.9,"D","Social",3,1,NA
"299","Election",1050,"Dem",NA,9,37,224.6,"D","Social",3,1,NA
"300","Unemployment",1076,"Dem",4.7,4.7,4.7,4.9,"D","Social",3,1,NA
"301","Taxes",820,"Dem",20,14,13.5,14.6,"D","Social",3,1,NA
"302","California",994,"Dem",42,41,42,60.2,"D","Social",3,1,NA
"303","Unemployment",810,"Dem",4.3,4,4,4.9,"D","Social",3,1,NA
"304","California",1007,"Dem",50,45,45,60.2,"D","Social",3,1,NA
"305","Election",1068,"Dem",56,78,120,224.6,"D","Social",3,1,NA
"306","Election",930,"Dem",350,223,165,224.6,"D","Social",3,1,NA
"307","Election",1002,"Dem",270,270,270,224.6,"D","Social",3,1,NA
"308","Unemployment",815,"Dem",4,4.7,5,4.9,"D","Social",3,1,NA
"309","Unemployment",927,"Dem",4,4.5,4.6,4.9,"D","Social",3,1,NA
"310","Unemployment",923,"Dem",4.3,4.3,4.3,4.9,"D","Social",3,1,NA
"311","Election",935,"Dem",150,185,228,224.6,"D","Social",3,1,NA
"312","Election",975,"Dem",NA,174,227,224.6,"D","Social",3,1,NA
"313","Unemployment",1068,"Dem",7,7,6.5,4.9,"D","Social",3,1,NA
"314","Taxes",885,"Dem",23,25,18,14.6,"D","Social",3,1,NA
"315","Election",968,"Dem",200,245,235,224.6,"D","Social",3,1,NA
"316","Election",1074,"Dem",175,200,225,224.6,"D","Social",3,1,NA
"317","Election",1037,"Dem",200,180,150,224.6,"D","Social",3,1,NA
"318","Unemployment",820,"Dem",10,4.7,5,4.9,"D","Social",3,1,NA
"319","Taxes",994,"Dem",14,15,16,14.6,"D","Social",3,1,NA
"320","Unemployment",870,"Dem",12,4,5,4.9,"D","Social",3,1,NA
"321","Unemployment",935,"Dem",7,4.7,5,4.9,"D","Social",3,1,NA
"322","Unemployment",1050,"Dem",49,5,5,4.9,"D","Social",3,1,NA
"323","California",815,"Dem",40,55,55,60.2,"D","Social",3,1,NA
"324","Election",1006,"Dem",500,328,253,224.6,"D","Social",3,1,NA
"325","Unemployment",1006,"Dem",4.7,4.7,5,4.9,"D","Social",3,1,NA
"326","Election",931,"Dem",300,250,230,224.6,"D","Social",3,1,NA
"327","California",927,"Dem",13,14,15,60.2,"D","Social",3,1,NA
"328","Election",1064,"Dem",160,1,75,224.6,"D","Social",3,1,NA
"329","Taxes",1076,"Dem",47,8.6,18,14.6,"D","Social",3,1,NA
"330","California",870,"Dem",35,40,40,60.2,"D","Social",3,1,NA
"331","Taxes",1037,"Dem",25,20,20,14.6,"D","Social",3,1,NA
"332","Taxes",1068,"Dem",15,18,20,14.6,"D","Social",3,1,NA
"333","Taxes",931,"Dem",23,20,25,14.6,"D","Social",3,1,NA
"334","Unemployment",1007,"Dem",8,7,6,4.9,"D","Social",3,1,NA
"335","Unemployment",949,"Dem",4.7,5,5,4.9,"D","Social",3,1,NA
"336","Election",1007,"Dem",150,200,250,224.6,"D","Social",3,1,NA
"337","Taxes",935,"Dem",12,30,24,14.6,"D","Social",3,1,NA
"338","Unemployment",930,"Dem",4.7,5,5,4.9,"D","Social",3,1,NA
"339","Election",949,"Dem",250,200,500,224.6,"D","Social",3,1,NA
"340","Unemployment",1079,"Dem",5,5,5,4.9,"D","Social",3,1,NA
"341","Unemployment",1049,"Dem",5,7,6,4.9,"D","Social",3,1,NA
"342","Election",927,"Dem",250,235,235,224.6,"D","Social",3,1,NA
"343","Unemployment",895,"Dem",5,5,5,4.9,"D","Social",3,1,NA
"344","Taxes",970,"Dem",20,18,20,14.6,"D","Social",3,1,NA
"345","Unemployment",1037,"Dem",9,10,9,4.9,"D","Social",3,1,NA
"346","California",1037,"Dem",40,50,45,60.2,"D","Social",3,1,NA
"347","California",1049,"Dem",15,35,37,60.2,"D","Social",3,1,NA
"348","Taxes",810,"Dem",NA,16,21,14.6,"D","Social",3,1,NA
"349","Taxes",1006,"Dem",10,14,15,14.6,"D","Social",3,1,NA
"350","California",970,"Dem",38,60,60,60.2,"D","Social",3,1,NA
"351","California",935,"Dem",65,35,70,60.2,"D","Social",3,1,NA
"352","Election",837,"Dem",35,245,261,224.6,"D","Social",3,1,NA
"353","California",1074,"Dem",60,55,58,60.2,"D","Social",3,1,NA
"354","California",888,"Dem",40,40,43,60.2,"D","Social",3,1,NA
"355","Election",1079,"Dem",220,225,225,224.6,"D","Social",3,1,NA
"356","Taxes",888,"Dem",30,25,23,14.6,"D","Social",3,1,NA
"357","Taxes",1002,"Dem",12,10,10,14.6,"D","Social",3,1,NA
"358","California",923,"Dem",45,40,40,60.2,"D","Social",3,1,NA
"359","Taxes",930,"Dem",23,22,16,14.6,"D","Social",3,1,NA
"360","Election",939,"Dem",175,300,400,224.6,"D","Social",3,1,NA
"361","Unemployment",1064,"Dem",20,4.6,4.6,4.9,"D","Social",3,1,NA
"362","Election",1076,"Dem",200,251,223,224.6,"D","Social",3,1,NA
"363","California",1035,"Dem",60,55,54,60.2,"D","Social",3,1,NA
"364","Unemployment",837,"Dem",5,4.7,4.7,4.9,"D","Social",3,1,NA
"365","California",1068,"Dem",68,58,48,60.2,"D","Social",3,1,NA
"366","Unemployment",994,"Dem",5,5,5,4.9,"D","Social",3,1,NA
"367","Election",820,"Dem",300,255,250,224.6,"D","Social",3,1,NA
"368","California",895,"Dem",55,53,NA,60.2,"D","Social",3,1,NA
"369","Taxes",949,"Dem",15,21,16,14.6,"D","Social",3,1,NA
"370","California",1002,"Dem",25,26,38,60.2,"D","Social",3,1,NA
